Date,Open,High,Low,Close,Adj Close,Volume
2019-02-04,36.342499,37.669998,36.119999,37,37.005318,52859200
2019-02-05,37.415001,37.857498,37.075001,37,37.196320,54242400
2019-02-06,37.822498,38.900002,37.767502,38,37.952888,70246400
2019-02-07,37.782501,37.805000,36.422501,38,36.568726,63712000
2019-02-08,36.177502,37.150002,36.032501,38,36.754772,46160400
2019-02-11,36.597500,37.145000,36.125000,39,36.328117,49518000
2019-02-12,37.000000,37.950001,36.855000,39,37.498947,59106000
2019-02-13,38.090000,38.957500,37.952499,40,37.923119,60537200
2019-02-14,38.209999,38.917500,37.775002,41,38.332417,82726400
2019-02-15,40.737499,40.967499,39.105000,41,39.029457,151674800
2019-02-19,39.227501,39.972500,39.035000,42,38.855816,55189200
2019-02-20,39.455002,40.314999,39.342499,43,39.329617,54098800
2019-02-21,39.764999,40.012501,38.794998,44,38.640022,44854800
2019-02-22,39.465000,39.987499,39.327499,44,39.488369,40174000
2019-02-25,40.639999,41.320000,39.584999,44,39.364349,65602000
2019-02-26,39.625000,40.189999,38.937500,45,38.969929,48846400
2019-02-27,39.130001,39.397499,38.277500,46,38.550709,50025600
2019-02-28,38.750000,38.974998,38.340000,46,38.304882,32494400
2019-03-01,39.067501,39.537498,38.480000,46,38.848694,35718800
2019-03-04,39.500000,39.730000,38.625000,47,38.930634,40999200
2019-03-05,39.037498,39.514999,38.490002,48,38.866077,36292400
2019-03-06,39.040001,39.125000,37.985001,49,37.756115,40352400
2019-03-07,37.775002,37.872501,36.849998,50,37.063309,45010400
2019-03-08,36.415001,37.767502,36.200001,51,37.405979,42241600
2019-03-11,37.897499,40.514999,37.422501,52,40.013275,85972800
2019-03-12,40.564999,41.097500,39.797501,52,40.355953,57957600
2019-03-13,41.007500,42.450001,40.932499,53,41.870674,76890000
2019-03-14,42.247501,42.367500,41.312500,54,41.110821,51938400
2019-03-15,41.825001,42.882500,41.790001,55.2,42.166161,66148400
2019-03-18,42.770000,43.312500,41.965000,55.4,41.952610,48699200
2019-03-19,43.189999,44.375000,43.020000,55.1,43.631214,85497200
2019-03-20,44.220001,44.757500,43.250000,55.3,43.305920,71914800
2019-03-21,43.832500,46.250000,43.782501,55.2,45.674839,82431200
2019-03-22,45.709999,46.200001,44.235001,55.5,44.075703,74764400
2019-03-25,43.965000,44.612499,42.777500,55.1,43.151966,52521200
2019-03-26,44.872501,45.437500,43.650002,55.12,43.919262,70350800
2019-03-27,44.474998,44.942501,43.424999,55.51,43.827381,47437200
2019-03-28,44.387501,44.974998,43.777500,55.65,44.013611,48026400
2019-03-29,44.985001,45.134998,44.477501,55.52,44.587223,45689600
2019-04-01,45.814999,45.875000,45.092499,55.90,45.262630,48382400
2019-04-02,45.812500,46.197498,45.380001,55.23,45.441418,44092000
2019-04-03,46.250000,47.750000,46.200001,55.15,46.836945,78350400
2019-04-04,47.000000,47.492500,46.432499,55.46,46.747551,45737600
2019-04-05,47.500000,47.912498,47.132500,55.76,47.415527,48174400
2019-04-08,47.430000,48.200001,47.187500,53.24,47.624092,42419200
2019-04-09,47.610001,47.722500,46.889999,53.78,46.995861,43997200
2019-04-10,47.307499,48.285000,47.262501,53.54,47.701080,44477200
2019-04-11,48.049999,48.367500,47.387501,52,47.562019,37460000
2019-04-12,48.275002,48.314999,47.415001,52,47.182102,47170800
2019-04-15,47.424999,47.474998,45.775002,52,45.863552,44009200
2019-04-16,46.570000,47.242500,46.240002,51,46.735130,39496400
2019-04-17,47.404999,47.615002,46.597500,51,46.506683,35100400
2019-04-18,46.889999,47.232498,46.294998,51,46.260853,38098800
2019-04-22,46.337502,47.275002,46.020000,51,46.799706,27993600
2019-04-23,47.250000,47.982498,47.152500,50,47.345978,34685600
2019-04-24,47.772499,48.202499,47.160000,50,47.470146,31820400
2019-04-25,47.387501,47.612499,45.924999,50,46.412323,49929600
2019-04-26,45.177502,45.222500,43.325001,49,44.222195,86898800
2019-04-29,44.602501,45.112499,43.875000,49,44.530109,39192000
2019-04-30,44.507500,45.507500,44.314999,48,44.944805,36292000
2019-05-01,45.777500,46.202499,45.115002,47,44.813190,35428000
2019-05-02,45.215000,46.217499,44.779999,47,45.488594,39468400
2019-05-03,45.882500,45.982498,45.132500,47,45.443905,33682400
2019-05-06,43.875000,45.084999,43.500000,47,44.659229,42217600
2019-05-07,44.474998,44.474998,42.792500,47,42.985600,55522000
2019-05-08,43.000000,44.287498,42.880001,46,43.186726,41916800
2019-05-09,42.785000,42.882500,41.349998,46,42.260513,66024800
2019-05-10,42.237499,42.897499,41.000000,45,41.920334,56950000
2019-05-13,40.875000,41.107498,39.452499,45,39.345310,65691200
2019-05-14,40.012501,40.865002,39.622501,45,40.236759,52488000
2019-05-15,39.950001,40.262501,39.352501,45,39.625912,50232000
2019-05-16,39.840000,40.477501,39.412498,45,39.777378,78108800
2019-05-17,39.625000,40.927502,38.735001,45,38.868553,102206800
2019-05-20,38.137501,38.692501,37.687500,45,37.681614,57206400
2019-05-21,38.549999,38.924999,38.160000,45,38.503540,36184800
2019-05-22,38.375000,38.637501,37.939999,44,37.793358,32586800
2019-05-23,37.422501,37.422501,36.227501,44,36.581581,59184400
2019-05-24,37.020000,37.375000,36.220001,44,36.042740,35758400
2019-05-28,36.465000,36.794998,35.812500,43,35.590816,42835600
